datetime;demanda_p48;eolica_p48;precio_spot
2015-01-01T00:00:00+01:00;25328.9;5517.4;50.1
2015-01-01T01:00:00+01:00;24331.3;5034.4;48.1
2015-01-01T02:00:00+01:00;22767.5;4674.8;47.33
2015-01-01T03:00:00+01:00;21286.7;4257.6;42.27
2015-01-01T04:00:00+01:00;20301.3;4130.3;38.41
2015-01-01T05:00:00+01:00;19955.6;3735;35.72
2015-01-01T06:00:00+01:00;19932.6;3412;35.13
2015-01-01T07:00:00+01:00;20290.8;3173.9;36.22
2015-01-01T08:00:00+01:00;20163.6;2893;32.4
2015-01-01T09:00:00+01:00;20345.3;2739;36.6
2015-01-01T10:00:00+01:00;22240;2640.9;43.1
2015-01-01T11:00:00+01:00;23591.9;2549.5;45.14
2015-01-01T12:00:00+01:00;24042.7;2574.9;45.14
2015-01-01T13:00:00+01:00;24472.4;2506.8;47.35
2015-01-01T14:00:00+01:00;24454.6;2328.7;47.35
2015-01-01T15:00:00+01:00;23121;2270.8;43.61
2015-01-01T16:00:00+01:00;23065.9;2321.6;44.91
2015-01-01T17:00:00+01:00;23600.1;2489.5;48.1
2015-01-01T18:00:00+01:00;26607.5;2688.1;58.02
2015-01-01T19:00:00+01:00;27993.8;2796.1;61.01
2015-01-01T20:00:00+01:00;28838.3;2822.1;62.69
2015-01-01T21:00:00+01:00;29547;2723.6;60.41
2015-01-01T22:00:00+01:00;28836.3;2779.7;58.15
2015-01-01T23:00:00+01:00;26644.5;2862.4;53.6
2015-01-02T00:00:00+01:00;23581.1;2982.9;47.34
2015-01-02T01:00:00+01:00;21588.4;2817.5;40.4
2015-01-02T02:00:00+01:00;19992;2755.7;36
2015-01-02T03:00:00+01:00;19309.6;2558.6;37
2015-01-02T04:00:00+01:00;19458.2;2483.7;35.99
2015-01-02T05:00:00+01:00;19843.3;2504.3;37.98
2015-01-02T06:00:00+01:00;21779.2;2596.5;43.61
2015-01-02T07:00:00+01:00;25192.5;2649.9;56.1
2015-01-02T08:00:00+01:00;28337.2;2722.6;57.69
2015-01-02T09:00:00+01:00;30760.1;2784;60.01
